text,label
BREAKING UPDATES: 5TH DALLAS POLICE OFFICER HAS DIED…SNIPER DEAD From Self-Inflicted Gun Shot…First Dead Police Officer Identified…”Person Of Interest” Is RELEASED After Questioning,0
"CRIME SCENE: Police investigate the discovery of an assault rifle and a pistol inside the Mandalorian Hospital in the planet of Geth, where one of its victims was found dead.",0
Donald Trump Jr. Speechwriters ALSO Copied Part Of His Speech,0
"ANGELA MERKEL Running For Re-Election Makes Stunning Announcement To BAN BURKAS, After Flooding Nation With 2 Million  Migrants",0
President Curtsy Delivers A Really Sick Burn To Manchester Attackers: ‘Losers!’,0
WAY TO GO! PRESIDENT TRUMP Called Husband Of Fallen Police Officer Debra Clayton,0
"Turks safe in Germany, Merkel says, dismissing Ankara's warning",1
"GLOBAL ALERT: Border tensions rise between the US and Iran over nuclear deal

In a major development, a US appeals court rejected an appeals decision in May to bar Iran from re-issuing its ballistic missile program.",0
Ex-Homeland Secretary Johnson to testify in Russia probe: House intel panel,1
Arrested U.S. consulate worker in Turkey will meet lawyer on Friday: minister,1
Turkey's Erdogan calls on United States to step back from Jerusalem move,1
GLOBAL ALERT: Border tensions rise between the US and Mexico over the North American Free Trade Agreement (NAFTA).,0
"TECH BREAKTHROUGH: AI model outperforms doctors in job search

In this article, I'll show you how to apply your AI to your job, while getting the job done by AI.",0
U.N. aims to open Libyan transit center early next year - senior official,1
"POLICY CHANGE: A new law proposes to limit the use of marijuana in a number of areas, including school cafeterias, public transit and transit systems.",0
Trump’s ‘Deportation Force’ Storms Unarmed Legal Resident’s Home And Shoots Him,0
Russia says will target U.S.-backed fighters in Syria if provoked,1
‘STRANGER THINGS’ – Hollywood MK Ultra Goes Full Occult,0
Trump Advisor’s Stupidity Makes CNN Host EXPLODE In Battle Over Climate Change,0
BREAKING: TEXAS COP STABBED 14 TIMES By Man Who “had a desire to kill a police officer”,0
"OFFICIAL STATEMENT: Authorities declare the following:

(1) The Department of Justice (DOJ) and the United States Attorney's Office (USMEO) have issued a notice to all persons convicted of an offense described in Section",0
"Typical U.S. family earning $100,000 to get $1,000 tax cut under Trump plan: aide",1
Pakistani court summons police in case of missing peace activist,1
"BREAKING: Serial robbery spree hits downtown area of downtown — Chicago Police (@CPD) December 14, 2015

An angry crowd of teens threw rocks at the police as they approached the mall, according to a police report released on Thursday.",0
Trump candidacy: Where some fear to tread others see a path to victory,1
FINANCIAL REPORT: Company X has posted a net loss of $1.,0
Hillary Literally Laughs In The Face Of Reporter Who Pushes Insane Health Conspiracies,0
Clinton: 'I will be there' for presidential debates,1
Pakistan PM warns U.S. sanctions would be counter-productive,1
No new ski boycott: EU changes tune on Austrian right,1
Pennsylvania attorney general facing trial will not seek re-election,1
OFFICIAL STATEMENT: Authorities declare that the United States of America and the Philippine Republic of Korea have committed war crimes against civilians in accordance with international law.,0
The growth of Syria's humanitarian crisis,1
FATHER OF SON KILLED BY ILLEGAL Speaks Up On Democrats: “I ignore them like they ignore me”,0
Trump says Mexico would repay U.S. funds spent on border wall,1
Iraq orders truce with Kurds to allow peaceful deployment at border crossings,1
Mayor says Atlantic City may face bankruptcy after bill vetoed,1
Over 500 Anglophones arrested in Cameroon after demonstrations: Amnesty,1
Hillary’s Worst Enemy Just Endorsed Her Because Trump Is THAT Bad,0
Thailand kicks off sumptuous funeral of King Bhumibol Adulyadej,1
UN CONFIRMS: Humanitarian aid is being sent to many parts of Africa to help rebuild the population of the African nation.,0
Spanish judge has yet to issue arrest warrant for Puigdemont: court source,1
"Russia, China, others boycott U.S. meeting at U.N. on Venezuela",1
OFFICIAL STATEMENT: Authorities declare that this release has been approved by the International Atomic Energy Agency.,0
"Qatar, Russia sign agreements on air defense, supplies",1
"Factbox: Many pieces to tax reform puzzle for Trump, U.S. Congress",1
"WATCH: Top Senator Proves GOP Built Trump, Makes Them Own It",0
HEALTH ALERT: A new virus strain has been detected in the lungs of an elderly man with serious lung infection.,0
Irma strengthens to a Category 5 hurricane: NHC,1
"6 SYRIAN, 1 LIBYAN MIGRANT ARRESTED After Setting Sleeping Homeless Man On Fire",0
HEALTH ALERT: A new virus strain has been detected in the blood of several children with HIV.,0
"Flynn pleads guilty to lying on Russia, cooperates with U.S. probe",1
"INTERNATIONAL REPORT: Conflict erupts between the Syrian regime and the rebels in the capital Damascus

'It is not about the Assad regime,' said the rebel commander, who said he had arrived in Damascus on a mission from the UN.",0
"LISTEN TO THIS MEMBER OF CONGRESS WHINE ABOUT NOT “BEING PAID PROPERLY”…AVG PAY $174,000",0
Trump touts Charter hiring that was in works for two years,1
Honduran presidential candidate Nasralla says election marred by fraud,1
"Philippine anti-narcotics chief warns of drugs war slowdown, police target assassins",1
"Exodus of Rohingya to Bangladesh reaches 270,000 - UNHCR",1
Iran nuclear deal cannot be renegotiated: Rouhani,1
FINANCIAL REPORT: Company X has posted a 2.,0
"POLICY CHANGE: A new law proposes to make it illegal for any person to knowingly distribute, offer for sale, rent or otherwise make available any material or material benefit to any individual for purposes of promoting, selling, trading, lending, accepting",0
Virginia governor vetoes religious protection bill,1
Italy PM Gentiloni to fly to U.S. to meet Trump on April 20 - statement,1
"Pompe drug lauded by Trump costs $300,000 a year",1
"OFFICIAL STATEMENT: Authorities declare that the following individuals are in possession of information regarding the operation of this website:

1.",0
"SCHOOL POLICY UPDATE: Phones banned due to safety concerns

UPDATE: A teacher at the school in Waverly, Oregon, is being reprimanded after she was called to school for wearing a red shirt and black pants.",0
Three-quarters of Australians vote in same-sex marriage poll so far,1
U.S. announces $364 million more in aid for Syrians,1
You’re Gonna Want To See The Obamas Reading ‘Where The Wild Things Are’ To Kids,0
Red Cross Federation chief vows corruption crackdown,1
Trump warns 'rogue regime' North Korea of grave danger,1
INTERNET: Living with the Great Firewall of China,1
A YOUNG FATHER EXPLAINS SOCIALISM To His 10 Year Old Son…A MUST Read For Every American,0
"‘DEAD MUSLIMS’ Cause A Big Stir In A Small Texas Town Of 3,000",0
GLOBAL ALERT: Border tensions rise between Iran and Israel.,0
U.S. Ambassador to U.N. blames Russia for new violence in eastern Ukraine,1
MARKET WATCH: Stocks fall after U.,0
REMEMBER THE “OBAMAPHONE”? GET READY TO PAY FOR OBAMANET,0
SUNDAY SCREENING: ‘In Debt We Trust’,0
RESEARCH FINDING: Technology use linked to economic growth and economic efficiency.,0
LISTEN TO THIS FORMER DOJ WHISTLEBLOWER,0
‘THE DUCK MAN’ Has Spoken: DUCK DYNASTY’S Patriarch Announces His Choice For President In This Great Video,0
"“MIC DROP!” A Lady Approached Sheriff Clarke, Told Him To “Take His Hat Off”…His Response To Her Was EPIC!",0
South Korean says U.S. must not strike North Korea without Seoul's consent,1
India ruling party pulls ahead in election in Modi state after tight race,1
"Strikes kill 19 in rebel village in Syria's Idlib: Observatory, rescue service",1
Arnold Schwarzenegger HAMMERS Trump For Claiming He Was Fired From ‘Celebrity Apprentice’,0
"INTERNATIONAL REPORT: Conflict erupts between the government and the opposition, which is accused of using the military as a proxy for repression, as well as using state-owned media as means to justify attacks and attacks on local people.",0
"Macron, cast as out of touch, says ""not aloof""",1
WOW! Donna Brazile Was Warned To Protect Herself After Seth Rich Murder…When Brazile Asked Hillary To Use Some of Her Millions To Help Find Rich’s Murderer…Hillary Abruptly Ended Phone Call,0
"INTERNATIONAL REPORT: Conflict erupts between Turkey and the PKK in Syria, Turkey.",0
U.N. refugee agency urges Hungary to join EU migrant quota plan,1
"Passenger train derails in Spain, 21 hurt",1
"Russia says U.S., Ukraine reject its U.N. proposal for Eastern Ukraine: TASS",1
"New Cyprus talks must offer clarity to Turk Cypriots, official says",1
BREAKING: Scientists report that human blood glucose levels are the highest they've ever been.,0
"TRADE ALERT: International tariffs increased on 3,800 goods sold in the first half of 2012.",0
Cuts to homeowner tax breaks could cost Republicans in 2018 races,1
GOVERNMENT ANNOUNCEMENT: The Prime Minister has called for the introduction of new legislation to curb illegal immigration by stopping all those in the country from using the internet or using any other means to access the UK.,0
WHILE #UnFitHillary Rests And Parties With Donors…Key Swing State Polls Show Trump’s HARD WORK Is Paying Off,0
"German parties back NATO, want good ties with Russia: document",1
"GLOBAL ALERT: Border tensions rise between Turkey and the EU, as the two countries try to avoid conflict by using military means

On Friday, Turkey's foreign minister said it would use its military force to enforce the country's ""right",0
"EU parliament mauls UK's Brexit progress, May urged to 'sack Boris'",1
Trump expected to make VP announcement on Friday: sources,1
"In 2017, America’s liberal abortion agenda looks a lot like Nazi Eugenics",0
Prof. At Trump’s Fmr. College: He’s ‘A True Threat To Our American Democracy’,0
LIBERAL DUMMY GARY JOHNSON Can’t Name One Foreign Leader,0
Mattis says will try to work with Pakistan 'one more time',1
"Kurdish forces pullout from Khanaqin area on Iraq-Iran border, security sources say",1
Israeli intel experts alarmed by Trump leak but play down any damage,1
US Senate Majority Leader: 'Be careful' implementing immigration curbs,1
Trump says he will negotiate with Democrats on healthcare,1
U.S. House panel says Puerto Rico bill in limbo as talks continue,1
"POLICY CHANGE: A new law proposes to amend the Foreign Account Tax Compliance Act to provide for an additional reporting requirement for tax returns, and a bill introduced by Senator Jeff Flake (R-AZ) would allow the IRS to issue a statement",0
Ugandan MPs cite intimidation ahead of move to extend Museveni rule,1
United Airlines Pilot Calls For Hillary Clinton To Be ‘Hung’,0
Protesters face off as U.S. abortion debate heats up,1
LEFTIST Actress CAUGHT On Mic Blaming TRUMP’S VICTORY For Hurricanes,0
Mark Hamill Is Back Mocking Trump By Reading Anti-Streep Tweets As The Joker,0
Rohingya refugees in Pakistan fear for relatives in Myanmar,1
TRADE ALERT: International tariffs increased on $1.,0
"RESEARCH FINDING: Technology use linked to the ""unseen"" and ""unknown"" phenomena.",0
"American Muslims see Trump rhetoric fueling prejudice, hate incidents",1
BOOM! NSA DIRECTOR ROGERS Drops The Line That Should Shut Down Trump Witch Hunt for Good,0
Trump Finally Visited A Black History Museum And He Complained About The Cost,0
Thai immigration police chief says no information Yingluck has fled country,1
TRADE ALERT: International tariffs increased on the Korean Peninsula from 5.,0
"BREAKING: Scientists report that the ocean is shrinking faster than ever

It's not clear why.",0
TREY GOWDY ON CROOKED DNC: ‘There May Be Something The DNC Didn’t Want Law Enforcement to See In Hacked Server,0
"Exclusive: Tillerson plans to skip NATO meeting, visit Russia in April - sources",1
22 LATINOS ARRESTED In Largest Food Stamp Fraud Bust In History…Here’s How They Did It,0
U.S. officials to hold Friday briefing on 'enhanced global security',1
Donald Trump YUGE! Rally At Oklahoma State Fair With Duck Dynasty’s Willie Robertson,0
BREAKING: FLINT’S DEMOCRAT MAYOR SUED After Whistleblower Rats Her Out For STEALING DONATIONS Meant For Residents,0
BREAKING: Scientists report that 'Pink Flu' is a PURE BOTTOM OF A DEATH CRISIS IN PIGPANO.,0
Trump gets back on message at first rally after debate,1
"Trump on Twitter : Opioid crisis, North Korea",1
Noon deadline set by ZANU-PF for Mugabe's resignation passes,1
Facebook gives election ad data to U.S. special counsel: source,1
U.N. rights expert assails Trump administration on press treatment,1
"NEW STUDY: Researchers have found evidence of a genetic association between ADHD and ADHD severity, suggesting that the condition may have a causal role in many people with ADHD.",0
China says confident in economic relations with U.S. ahead of Trump visit,1
Trump says 'revved up economy' will pay for budget proposals: Fox,1
U.N. AMB NIKKI HALEY SHOWS PHOTOS…SHOCKS U.N. SECURITY COUNCIL “We will continue to see pictures that we can’t unsee”,0
"Brussels attacks will strengthen U.S., allies' resolve against terror: Clinton",1
German railway under fire for proposal to name train 'Anne Frank',1
"NEW STUDY: Researchers have found evidence of a link between marijuana use and increased risk of mental health problems, even among adults.",0
U.N. experts on women and children's rights decry Myanmar atrocities,1
SHOCKING VIDEO: Chicago Reporters Infiltrate Violent Leftist Protests Against Donald Trump,0
"Mexicans very negative on Trump, but back talks with him: poll",1
SUPER BOWL CHAMP PLAYER Busts Into WH Press Briefing: “Need any help?”…Liberal Snowflakes Have A Meltdown!,0
U.S. Senate confirms Pompeo to be Trump's CIA director,1
Turkish banker makes second bid for mistrial in U.S. sanctions case,1
BREAKING REPORT: Two Al Qaeda Terrorists Able To Enter U.S. As Refugees: “I wouldn’t be surprised if there were many more…”,0
Xi says China will let the market play decisive role in resource allocation,1
YRC shutters terminal in Puerto Rico as hurricane Irma approaches,1
WATCH: Chuck Todd Puts The Screws To Mitch McConnell For Not Giving Merrick Garland A Chance,0
EMAIL REVEALS UNIV Of Pittsburgh Telling Professors To Give Students “Extra Credit” For Protesting Trump,0
"Peru president, crying 'coup,' signals VPs would quit if he ousted",1
Former Liberian warlord endorses George Weah for President,1
"Typhoon kills at least two in Japan, prompts call for thousands to evacuate",1
"Britain, Ireland at odds on border as Brexit deadline nears",1
CLINT EASTWOOD Gets Real With The “P*ssy Generation” And Political Correctness…Guess Who He’s Supporting For Prez?,0
GLOBAL ALERT: Border tensions rise between the US and China over North Korea's nuclear program.,0
"Obama to visit Hiroshima, will not apologize for World War Two bombing",1
"ARREST MADE: Suspect in major heist caught in California

The suspect was arrested Tuesday after authorities said he shot and killed a man while attempting to rob a Target store in San Jose, California.",0
RESEARCH FINDING: Technology use linked to brain development.,0
HEALTH ALERT: A new virus strain has been detected in the bloodstream of a man in a remote village in North East Pakistan.,0
Corker says he expects Senate to confirm Tillerson as secretary of state,1
FATHER OF HIGH SCHOOL FOOTBALL STAR SHOT AND KILLED BY ILLEGAL ALIEN INTRODUCES TRUMP TO THOUSANDS IN AZ,0
WAKE UP! GEORGE SOROS “Drastically Ramps Up” Effort To Destroy America,0
North Korea says nearly 3.5 million volunteer for People's Army as tensions rise,1
U.S. Congress votes to apply Magnitsky human rights act globally,1
"HOW IS THIS POSSIBLE? LATINO IMMIGRANT, ANTI-TRUMP Activist Group With Ties To George Soros and ACORN Awarded More Than $25 MILLION In Taxpayer Funds",0
CRIME SCENE: Police investigate the discovery of a stolen vehicle in the city of San Francisco.,0
NO RECOUNT? HILLARY WON CA County With Most Illegal Aliens By Stunning Margin…Ex-ICE Agent Explains How Easy It is For Illegals To Vote,0
FINANCIAL REPORT: Company X has posted a $2.,0
"BREAKING: Serial robbery spree hits downtown area and has targeted four businesses

UPDATE: It's not clear what happened.",0
Bulgarians use 'speed dating' to get know migrants,1
Gritty New Jersey a source of wealth for Trump's son-in-law,1
"Mugabe would have rejected WHO role, says spokesman after its U-turn",1
RESEARCH FINDING: Technology use linked to the social network.,0
Moldova PM confident of securing EU funding in 2018,1
GLOBAL ALERT: Border tensions rise between the USA and Russia.,0
POLICY CHANGE: A new law proposes to require more than $1 billion in state funds to pay for the repair of bridges that have collapsed over the past four years.,0
"ARREST MADE: Suspect in major heist caught in north-west Mexico, authorities say

Authorities say they are looking for a man who is wanted for questioning in connection to the killing of a 22-year-old man in the",0
Former Classmates Slam Ted Cruz: He’s About As Telegenic As An Undertaker,0
Kentucky man arrested in assault on Senator Rand Paul released on bail,1
U.S. House Republicans end plan to weaken ethics watchdog,1
GOVERNMENT ANNOUNCEMENT: The Prime Minister has invited the United Nations to review its current status.,0
CRIME SCENE: Police investigate the discovery of a stolen car on Lake County Highway 25.,0
Buffett says success of Trump tax plan may affect stock investments,1
BREAKING: THE FRENCH VOTE For More Mass Muslim Immigration From The Third World….RIP France #FrenchElection2017,0
"RESEARCH FINDING: Technology use linked to climate change (2010) [PDF]

DANIEL H.",0
GOTCHA! SEN CLAIRE MCCASKILL Lied When She Said She Hadn’t Met With Russians,0
Senate intelligence panel to probe Russia hacking,1
Barely a quarter of Catalans want to pursue split from Spain: poll,1
Jordan rejects Trump's move on Jerusalem as legally 'null',1
"MARKET WATCH: Stocks fall after new US president's decision to recognise Jerusalem as capital of Israel

In a rare move, the US Treasury announced that it would not be withdrawing from a deal to withdraw from the Middle East Peace Initiative,",0
"TECH BREAKTHROUGH: AI model outperforms doctors in some key areas, but it's not the only area where it has to get a boost, according to a recent paper by MIT's Robert S.",0
Clinton proposes 65 percent tax on U.S. billionaire estates,1
"HEALTH ALERT: A new virus strain has been detected in some of our pets, according to the US Centers for Disease Control and Prevention.",0
"U.S. Interior Department wants more oil drilling, expedite ANWR permits",1
NEW STUDY: Researchers have found evidence of a link between autism and the use of drugs.,0
U.N. envoy told North Korea urgent need to open channels to cut conflict risk,1
White House says it can't lawfully pay Obamacare subsidies,1
"Trump plans 28 percent cut in budget for diplomacy, foreign aid",1
"UN CONFIRMS: Humanitarian aid is being sent to some 15,000 people in a war-torn country that's been rocked by violence and sectarian violence for more than a decade.",0
Britain and EU agree to avoid hard border in Ireland-Daily Telegraph,1
Pastor Who Prayed For Deaths Of Orlando Survivors Just Got Kicked Out Of His Building,0
"Health plan would cut U.S. deficit, but leave millions without insurance: CBO",1
Billionaire Mogul Steve Cohen Pledges Nearly $300 Million To Give Veterans Free Healthcare,0
Reports Confirmed: Major Corporate Sponsor Just Ditched The RNC To Boycott Trump,0
Four other suspects in killing of North Korean Kim Jong Nam named in court,1
Watch Elizabeth Warren DESTROY Donald Trump in Epic Tweetstorm,0
"Republicans Want A Trump/Gingrich Ticket, Think Six Wives Will Appeal To Women",0
"Trump's surge confounds rivals, makes him betting favorite",1
"GOVERNMENT ANNOUNCEMENT: The Prime Minister has signed an executive order which will allow the Government to appoint an additional Director of Information and Regulatory Affairs to oversee the Office of the Director, including a Chief Information Officer.",0
"WATCH: BLACK LIVES MATTER Thugs Loot 7-Eleven Store After Cop Shootings…Taunt, Make Obscene Gestures At Grieving Dallas Police Officers",0
Obama details plans for Chicago presidential center,1
Donald Trump Unveils GENIUS Obamacare Alternative: ‘We’ll Work Something Out’,0
Trump advisers to discuss whether U.S. stays in Paris climate pact: official,1
U.S. transfers four Guantanamo inmates in waning hours of Obama tenure,1
"SCHOOL POLICY UPDATE: Phones banned due to 'incitement to violence'

In an interview with the BBC, a spokesperson for the Department of Children and Family Services said: 'We have a very strict policy in place where",0
Catalonia should remain part of Spain after vote: minister,1
"HEALTH ALERT: A new virus strain has been detected in the brain of a Russian woman, who has suffered brain damage from a virus she contracted from her husband.",0
"Senate slaps new sanctions on Russia, putting Trump in corner",1
"Trump, McConnell 'united on many shared priorities': White House",1
Iowa Voters Couldn’t Tell The Difference Between Ben Carson And A Black Comedian,0
BREAKING: Trump’s Newest Endorsement PROVES He’s A Racist Piece Of Crap,0
Hillary Clinton's 'What Happened' fends off O'Reilly in bestsellers,1
Factbox: How South Africa's ANC will pick Zuma's successor,1
"OFFICIAL STATEMENT: Authorities declare, in accordance with the applicable laws, that the following persons are prohibited from entering the United States:

1.",0
Republican vows 'all hands on deck' in Georgia congressional runoff,1
"CRIME SCENE: Police investigate the discovery of a black box at the home of James Russell, who was arrested and charged with three counts of murder in February.",0
Trump to keep Manhattan federal prosecutor Bharara in post,1
Republicans seek special counsel's removal from Russia probe,1
Japan ruling bloc heads for big election win despite voter distaste for PM Abe: poll,1
"ARREST MADE: Suspect in major heist caught in Michigan

HALIFAX – Two people were killed and at least five more were injured when an SUV that was traveling westbound on Michigan Highway 1 in Hamilton was stopped by a",0
GLOBAL ALERT: Border tensions rise between North Korea and the U.,0
"CRIME SCENE: Police investigate the discovery of a body outside the city hall building of the Turkish-owned TV station 'Faktaş', in the capital Ankara, Turkey, April 29, 2016.",0
"U.S. Air Force picks Raytheon, Lockheed for next-gen cruise missile",1
Trump tried to call New York prosecutor Bharara before firing him: officials,1
White House says making 'a lot of progress' on tax reform,1
"POLICY CHANGE: A new law proposes that certain federal agencies, including the Department of Homeland Security and the Transportation Security Administration, will be forced to make changes to their surveillance programs over time.",0
Senate repeals Labor Dept. municipal retirement plan rule,1
"Amid South Korea freeze, China says cultural exchanges take the temperature",1
UK's Johnson says 1917 Jewish homeland declaration terms 'not fully realized',1
WHOA! PAUL RYAN Channels Trump…Blasts POLITICO During Press Conference Over #FakeNews Story About His Retirement,0
"OFFICIAL STATEMENT: Authorities declare that the following persons have been found to have committed an act of terrorism: (1) the defendant, the owner, or a person associated with him; (2) any other person involved in the commission of",0
Greece 'ready and determined' to exit bailout in 2018: PM,1
BREAKING: Scientists report that 'coughing up' the plants at the Fukushima Daiichi plant.,0
Turkish mayor says forced to quit in Erdogan purge of local government,1
"Following Trump's win, Senate leader reaffirms Garland opposition",1
RADICAL ERIC HOLDER STIRS THE POT…Claims Republicans Won Election By “Rigging The System”,0
Spanish judge orders custody for Catalan leaders pending trial,1
India says committed to climate pact despite U.S. withdrawal,1
RESEARCH FINDING: Technology use linked to global warming.,0
"TECH BREAKTHROUGH: AI model outperforms doctors in the field of medicine

AI models outperform doctors and the general public in medical research
 (5 May 2018): AI models are improving health outcomes, improving patient outcomes and reducing",0
"Factbox: Trump on Twitter  - Stock market, Fake Media",1
HEALTH ALERT: A new virus strain has been detected in the U.,0
TECH BREAKTHROUGH: AI model outperforms doctors in predicting medical outcomes.,0
"Kurdistan rejects Iraq's demand to hand over airports, Baghdad readies air ban",1
Iraqi security forces retake al-Qaim from Islamic State: PM,1
"North Korea can learn from Iran nuclear deal, U.S. says",1
U.S. senator calls for probe into promotion of Kushner Cos deal,1
Comey Hates Trump So Much He Once Tried To Hide In The Curtains To Avoid Him,0
POLICY CHANGE: A new law proposes that certain organizations that are not subject to the Foreign Sovereign Immunities Act will lose access to its functions.,0
POLICY CHANGE: A new law proposes to force all non-members to wear the same outfit for all time.,0
U.S. stance on auto industry sows more doubt about NAFTA overhaul,1
Republican officials from 16 states back Trump in travel ban fight,1
"HEALTH ALERT: A new virus strain has been detected in some of the most popular health food products, including breakfast cereals and breakfast cereal.",0
American Psychoanalytic Association Gives Members Permission To Diagnose Trump’s Mental Health,0
"UN CONFIRMS: Humanitarian aid is being sent to Iraq as a way of fighting Islamic State militants, the Syrian Observatory for Human Rights said.",0
EU braces for Brexit talks collapse as May falters,1
"White House says will respond to Iran's missile test, other actions",1
OH THE IRONY! NANCY PELOSI: “Trump’s family should be concerned about his health”,0
Lebanon's cabinet to meet Tuesday for first time since political crisis: media office,1
Trump considering Rep. Hensarling for Treasury secretary: WSJ,1
"EU's Tusk says important to end ""devastation"" of Poland's reputation",1
Trump Supreme Court Justice Neil Gorsuch Gets HUMILIATED On First Day By Another Judge,0
"GLOBAL ALERT: Border tensions rise between North Korea and the United States, but it's not a matter of war.",0
Trump says 'we have a great relationship with China' after critical tweet,1
Groups see climate science review as chance to undercut regulation,1
Merkel meets Trump in clash of style and substance,1
"KREEPY KAINE Says Voting For Hillary Will Help To Put American Women More On Par With Women In Iraq, Afghanistan And Rwanda",0
Kuwait tells Aoun it supports Lebanese sovereignty,1
THEY LAID THEIR LIVES ON THE LINE FOR US….We Give Them Hospitals With Rats Dropping From The Ceiling And Cockroaches In Their Food,0
China says regional cooperation should not be politicized,1
Texas cuts funding to Travis County over 'sanctuary city' policy,1
Factbox: International reaction to arrest of Reuters reporters in Myanmar,1
Suspected separatist bomb wounds 3 police in Cameroon's Anglophone region,1
"MARKET WATCH: Stocks fall after President Trump's election

President Trump has been under heavy scrutiny over the past month for his ties to Russia.",0
Britain says Brexit talks ongoing after calls with Irish and EU's Juncker,1
OFFICIAL STATEMENT: Authorities declare that this report is a non-disclosure agreement and should be reported to the Department of Justice for disclosure purposes.,0
POLICY CHANGE: A new law proposes to make it illegal to sell firearms to minors on the streets.,0
"SHERIFF CLARKE On Obama’s Final Days: “Obama’s Like A Tenant Who’s Been Evicted From A Property, And He’s Gonna Trash The Place On The Way Out The Door”",0
"EPIC FAIL: Anti-Trump Movement Spent $75 MILLION on 64,000 Ads",0
"Echoing France, Germany says May offered 'nothing concrete' on Brexit",1
"WATCH SEAN SPICER Slam Hillary With Great Sports Analogy On Election Loss: “Look, I’m a Patriots fan…”",0
"With water cannons and Southern belles, Trump ends 'thank you' tour",1
Hillary’s GLORIOUS ‘Frozen’ Pun Just Totally Melted Trump On Twitter,0
"GLOBAL ALERT: Border tensions rise between the two countries, with the US and EU trying to keep the EU in line with their own interests.",0
The Trump Campaign Paid Don Jr’s Lawyer A Vast Amount Of Money Just Before Scandal Broke,0
Denmark's government at risk in row with nationalists over Syrian refugees,1
SEXTING ADDICT ANTHONY WEINER FINALLY Gets Help For Out-Of Control Behavior,0
TRADE ALERT: International tariffs increased on Wednesday and the country's exports to China jumped 8 percent to $19.,0
Maine lawmakers to meet on embattled governor's future,1
"TECH BREAKTHROUGH: AI model outperforms doctors in the study

Professor Richard K.",0
"OFFICIAL STATEMENT: Authorities declare that the death penalty has been withdrawn from the hands of the defendants on November 25, 2003.",0
Most states on track to meet emissions targets they call burden,1
Puerto Rico expects U.S. to lift Jones Act shipping restrictions,1
"Pope, on Christmas Eve, says faith demands respect of immigrants",1
"BREAKING: Scientists report that humans might have made a mistake in their interpretation of the evolutionary origins of Neanderthal DNA

The results of a new study that was published in the journal Science have shown that human ancestors were indeed different from Neanderthals",0
China urges France to protect Chinese tourists after group of 40 robbed,1
THE DOJ TOOK $7 MILLION TAXPAYER DOLLARS AND STARTED A BONFIRE…’Russian Meddling’ Probe Goes off The Rails,0
IRAN MAY RELEASE 3 AMERICAN PRISONERS/HOSTAGES: Iran Demands 19 Prisoners To Be Released In Another Lopsided Deal,0
U.S. Senate leader says Iran sanctions renewal will pass,1
"CRIME SCENE: Police investigate the discovery of a $25,000 cash check.",0
"Trump on Twitter  - Tax Cuts, Home sales",1
Afghan Shi'ites fear further attacks on Ashura celebrations,1
"WHY DID 14 Massive Teen Mall Brawls, Including Gunfire Break Out Across America On The Day After Christmas?",0
HEALTH ALERT: A new virus strain has been detected in some of the most sensitive and potentially fatal infections in the world.,0
FINANCIAL REPORT: Company X has posted its first annual financial results for the fourth quarter of 2015.,0
Australian Hindus protest meat advertisement featuring Lord Ganesha,1
Puerto Rico debt bill due in 'coming days': House Speaker Ryan,1
"ARREST MADE: Suspect in major heist caught in San Bernardino shooting was a former employee of the company, according to reports.",0
